t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
0,3122.3867,95.9197,6.7119,-0.0996,0.4916,0.9453,0
0.0333,3122.996,95.8449,6.7451,-0.1049,0.5741,0.8978,0
0.0667,3123.601,95.7687,6.879,-0.1223,0.7371,0.9412,0
0.1,3124.2038,95.6911,7.0912,-0.1498,0.9568,0.9991,0
0.1333,3124.8064,95.6114,7.3613,-0.186,1.2096,1.065,0
0.1667,3125.4116,95.5287,7.6712,-0.2298,1.476,1.1339,0
0.2,3126.0218,95.4425,8.0052,-0.2805,1.7404,1.2018,0
0.2333,3126.6394,95.3529,8.3503,-0.3372,1.9913,1.2655,0
0.2667,3127.2667,95.2594,8.6959,-0.3996,2.2204,1.323,0
0.3,3127.9057,95.1619,9.0341,-0.4671,2.4224,1.373,0
0.3333,3128.5581,95.0605,9.3592,-0.5392,2.5948,1.4148,0
0.3667,3129.2253,94.9555,9.6672,-0.6156,2.7367,1.4483,0
0.4,3129.9084,94.8473,9.9561,-0.6957,2.8491,1.4738,0
0.4333,3130.6082,94.7361,10.2251,-0.7791,2.9339,1.492,0
0.4667,3131.3252,94.6222,10.4743,-0.8655,2.9939,1.5035,0
0.5,3132.0597,94.5059,10.705,-0.9543,3.0325,1.5094,0
0.5333,3132.812,94.3873,10.9187,-1.0453,3.0531,1.5106,0
0.5667,3133.5818,94.2668,11.1176,-1.1379,3.0592,1.5081,0
0.6,3134.3691,94.1446,11.3038,-1.232,3.0542,1.5026,0
0.6333,3135.1736,94.0207,11.4795,-1.3271,3.041,1.4951,0
0.6667,3135.995,93.8955,11.6468,-1.4231,3.0223,1.4862,0
0.7,3136.8328,93.769,11.8076,-1.5197,3.0005,1.4765,0
0.7333,3137.6868,93.6411,11.9637,-1.6166,2.9772,1.4665,0
0.7667,3138.5565,93.5121,12.1167,-1.7137,2.9542,1.4565,0
0.8,3139.4416,93.3818,12.2676,-1.8109,2.9324,1.4469,0
0.8333,3140.3417,93.2503,12.4176,-1.908,2.9128,1.4379,0
0.8667,3141.2564,93.1176,12.5674,-2.0049,2.8957,1.4295,0
0.9,3142.1854,92.9836,12.7175,-2.1016,2.8814,1.4218,0
0.9333,3143.1284,92.8485,12.8684,-2.1981,2.8701,1.4149,0
0.9667,3144.0852,92.712,13.0201,-2.2941,2.8617,1.4087,0
1,3145.0555,92.5742,13.1728,-2.3899,2.856,1.4031,0
1.0333,3146.0392,92.4351,13.3264,-2.4852,2.8527,1.3981,0
1.0667,3147.0359,92.2947,13.4809,-2.5802,2.8516,1.3936,0
1.1,3148.0455,92.1529,13.6361,-2.6747,2.8523,1.3895,0
1.1333,3149.0679,92.0098,13.7918,-2.7689,2.8545,1.3857,0
1.1667,3150.1029,91.8653,13.9478,-2.8626,2.8579,1.3822,0
1.2,3151.1503,91.7195,14.1039,-2.956,2.8622,1.3789,0
1.2333,3152.2101,91.5723,14.2599,-3.049,2.8672,1.3756,0
1.2667,3153.282,91.4238,14.4155,-3.1416,2.8726,1.3725,0
1.3,3154.3659,91.2739,14.5706,-3.2339,2.8782,1.3693,0
1.3333,3155.4617,91.1227,14.725,-3.3259,2.8839,1.3661,0
1.3667,3156.5692,90.9703,14.8786,-3.4175,2.8896,1.3629,0
1.4,3157.6883,90.8165,15.0313,-3.5089,2.8951,1.3596,0
1.4333,3158.8189,90.6614,15.183,-3.5999,2.9005,1.3562,0
1.4667,3159.9608,90.5051,15.3335,-3.6907,2.9056,1.3527,0
1.5,3161.1138,90.3475,15.4829,-3.7813,2.9105,1.3492,0
1.5333,3162.2779,90.1887,15.631,-3.8717,2.9152,1.3455,0
1.5667,3163.4527,90.0287,15.778,-3.9619,2.9197,1.3417,0
1.6,3164.6383,89.8675,15.9236,-4.0519,2.9239,1.3379,0
1.6333,3165.8343,89.7051,16.0681,-4.1418,2.928,1.334,0
1.6667,3167.0407,89.5416,16.2112,-4.2316,2.9319,1.33,0
1.7,3168.2573,89.3769,16.3531,-4.3213,2.9357,1.3259,0
1.7333,3169.4839,89.2111,16.4937,-4.4109,2.9394,1.3218,0
1.7667,3170.7203,89.0443,16.6331,-4.5006,2.943,1.3177,0
1.8,3171.9663,88.8763,16.7712,-4.5903,2.9466,1.3135,0
1.8333,3173.2219,88.7073,16.9081,-4.68,2.9502,1.3093,0
1.8667,3174.4867,88.5372,17.0437,-4.7697,2.9538,1.3051,0
1.9,3175.7607,88.3661,17.1781,-4.8596,2.9574,1.3008,0
1.9333,3177.0437,88.194,17.3112,-4.9496,2.961,1.2965,0
1.9667,3178.3354,88.0209,17.4431,-5.0398,2.9647,1.2922,0
2,3179.6357,87.8468,17.5737,-5.1302,2.9684,1.2879,0
2.0333,3180.9445,87.6718,17.7031,-5.2208,2.9722,1.2836,0
2.0667,3182.2615,87.4958,17.8312,-5.3117,2.976,1.2793,0
2.1,3183.5866,87.3189,17.958,-5.4028,2.9799,1.2749,0
2.1333,3184.9196,87.1411,18.0835,-5.4943,2.9839,1.2705,0
2.1667,3186.2603,86.9624,18.2078,-5.586,2.9879,1.2662,0
2.2,3187.6085,86.7829,18.3307,-5.6781,2.992,1.2618,0
2.2333,3188.9641,86.6024,18.4524,-5.7706,2.9961,1.2574,0
2.2667,3190.3269,86.4212,18.5727,-5.8635,3.0003,1.253,0
2.3,3191.6967,86.2391,18.6916,-5.9568,3.0045,1.2486,0
2.3333,3193.0733,86.0562,18.8092,-6.0505,3.0088,1.2442,0
2.3667,3194.4566,85.8724,18.9255,-6.1446,3.0132,1.2398,0
2.4,3195.8464,85.688,19.0403,-6.2393,3.0176,1.2353,0
2.4333,3197.2424,85.5027,19.1538,-6.3343,3.022,1.2309,0
2.4667,3198.6446,85.3167,19.2659,-6.4299,3.0265,1.2265,0
2.5,3200.0528,85.13,19.3767,-6.5259,3.0311,1.222,0
2.5333,3201.4667,84.9425,19.4859,-6.6224,3.0357,1.2175,0
2.5667,3202.8861,84.7544,19.5938,-6.7194,3.0403,1.2131,0
2.6,3204.311,84.5655,19.7003,-6.8169,3.045,1.2086,0
2.6333,3205.7412,84.376,19.8053,-6.9149,3.0497,1.2041,0
2.6667,3207.1764,84.1859,19.9088,-7.0135,3.0545,1.1996,0
2.7,3208.6165,83.9951,20.0109,-7.1125,3.0594,1.1951,0
2.7333,3210.0613,83.8037,20.1116,-7.212,3.0643,1.1906,0
2.7667,3211.5106,83.6117,20.2107,-7.312,3.0692,1.1861,0
2.8,3212.9643,83.4191,20.3084,-7.4125,3.0742,1.1816,0
2.8333,3214.4222,83.2259,20.4046,-7.5134,3.0793,1.1771,0
2.8667,3215.8841,83.0322,20.4993,-7.6149,3.0843,1.1726,0
2.9,3217.3498,82.838,20.5925,-7.7168,3.0895,1.1681,0
2.9333,3218.8192,82.6432,20.6842,-7.8192,3.0947,1.1636,0
2.9667,3220.292,82.448,20.7744,-7.922,3.0999,1.1591,0
3,3221.7682,82.2522,20.863,-8.0253,3.1052,1.1545,0
3.0333,3223.2475,82.056,20.9501,-8.129,3.1106,1.15,0
3.0667,3224.7298,81.8593,21.0357,-8.233,3.116,1.1455,0
3.1,3226.2148,81.6622,21.1197,-8.3375,3.1214,1.141,0
3.1333,3227.7025,81.4647,21.2022,-8.4424,3.127,1.1365,0
3.1667,3229.1926,81.2667,21.2831,-8.5477,3.1325,1.132,0
3.2,3230.6851,81.0684,21.3624,-8.6533,3.1382,1.1275,0
3.2333,3232.1796,80.8697,21.4401,-8.7593,3.1438,1.123,0
3.2667,3233.676,80.6707,21.5163,-8.8656,3.1496,1.1185,0
3.3,3235.1743,80.4713,21.5909,-8.9722,3.1554,1.114,0
3.3333,3236.6741,80.2716,21.6638,-9.0791,3.1613,1.1095,0
3.3667,3238.1754,80.0715,21.7352,-9.1863,3.1672,1.105,0
3.4,3239.6779,79.8712,21.8049,-9.2937,3.1732,1.1005,0
3.4333,3241.1815,79.6707,21.8731,-9.4015,3.1792,1.0961,0
3.4667,3242.6861,79.4698,21.9395,-9.5094,3.1853,1.0916,0
3.5,3244.1914,79.2687,22.0044,-9.6176,3.1915,1.0872,0
3.5333,3245.6973,79.0674,22.0676,-9.726,3.1977,1.0827,0
3.5667,3247.2037,78.8659,22.1291,-9.8347,3.204,1.0783,0
3.6,3248.7103,78.6641,22.189,-9.9435,3.2103,1.0738,0
3.6333,3250.2171,78.462,22.2471,-10.0525,3.2167,1.0694,0
3.6667,3251.7238,78.2598,22.3036,-10.1616,3.2232,1.065,0
3.7,3253.2302,78.0574,22.3584,-10.2709,3.2297,1.0606,0
3.7333,3254.7363,77.8549,22.4114,-10.3804,3.2362,1.0561,0
3.7667,3256.2419,77.6522,22.4627,-10.4899,3.2428,1.0517,0
3.8,3257.7467,77.4493,22.5123,-10.5996,3.2494,1.0473,0
3.8333,3259.2507,77.2464,22.5601,-10.7094,3.2561,1.0429,0
3.8667,3260.7537,77.0434,22.6062,-10.8193,3.2629,1.0386,0
3.9,3262.2555,76.8403,22.6505,-10.9293,3.2697,1.0342,0
3.9333,3263.7559,76.6371,22.693,-11.0393,3.2765,1.0298,0
3.9667,3265.2549,76.4339,22.7337,-11.1495,3.2834,1.0255,0
4,3266.7522,76.2307,22.7726,-11.2596,3.2904,1.0211,0
4.0333,3268.2477,76.0276,22.8097,-11.3699,3.2974,1.0168,0
4.0667,3269.7413,75.8244,22.845,-11.4802,3.3045,1.0125,0
4.1,3271.2327,75.6213,22.8785,-11.5905,3.3117,1.0082,0
4.1333,3272.7219,75.4182,22.9102,-11.7009,3.3189,1.0039,0
4.1667,3274.2086,75.2152,22.94,-11.8113,3.3261,0.9996,0
4.2,3275.6928,75.0123,22.9679,-11.9217,3.3335,0.9954,0
4.2333,3277.1743,74.8095,22.994,-12.0321,3.3409,0.9911,0
