t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
0,3122.3867,95.9197,6.7119,-0.0996,0.4916,0.9453,-0.0015
0.0333,3122.9978,95.8362,6.7023,-0.0998,0.4987,0.9453,-0.0015
0.0667,3123.6067,95.7529,6.6927,-0.1,0.5058,0.9453,-0.0015
0.1,3124.2135,95.6699,6.6831,-0.1002,0.5129,0.9453,-0.0015
0.1333,3124.8181,95.5873,6.6735,-0.1004,0.5201,0.9454,-0.0015
0.1667,3125.4205,95.5049,6.6639,-0.1006,0.5272,0.9454,-0.0015
0.2,3126.0208,95.4228,6.6543,-0.1008,0.5344,0.9455,-0.0015
0.2333,3126.619,95.341,6.6447,-0.101,0.5416,0.9455,-0.0015
0.2667,3127.215,95.2595,6.635,-0.1013,0.5487,0.9455,-0.0015
0.3,3127.8089,95.1782,6.6254,-0.1015,0.5559,0.9456,-0.0016
0.3333,3128.4006,95.0973,6.6158,-0.1017,0.5631,0.9456,-0.0016
0.3667,3128.9902,95.0167,6.6062,-0.1019,0.5703,0.9457,-0.0016
0.4,3129.5777,94.9363,6.5966,-0.1021,0.5775,0.9458,-0.0016
0.4333,3130.163,94.8563,6.5869,-0.1023,0.5847,0.9458,-0.0016
0.4667,3130.7463,94.7765,6.5773,-0.1025,0.5919,0.9459,-0.0016
0.5,3131.3274,94.697,6.5677,-0.1027,0.5991,0.946,-0.0016
0.5333,3131.9064,94.6178,6.5581,-0.1029,0.6063,0.946,-0.0016
0.5667,3132.4833,94.5389,6.5485,-0.1031,0.6135,0.9461,-0.0016
0.6,3133.0582,94.4603,6.5389,-0.1033,0.6207,0.9462,-0.0016
0.6333,3133.6309,94.382,6.5293,-0.1035,0.6279,0.9462,-0.0016
0.6667,3134.2015,94.3039,6.5197,-0.1037,0.6351,0.9463,-0.0016
0.7,3134.77,94.2262,6.5101,-0.1039,0.6424,0.9464,-0.0016
0.7333,3135.3365,94.1487,6.5005,-0.1041,0.6496,0.9465,-0.0016
0.7667,3135.9009,94.0715,6.4909,-0.1043,0.6568,0.9466,-0.0016
0.8,3136.4632,93.9946,6.4814,-0.1045,0.664,0.9467,-0.0016
0.8333,3137.0234,93.918,6.4718,-0.1047,0.6712,0.9467,-0.0016
0.8667,3137.5816,93.8417,6.4623,-0.1049,0.6785,0.9468,-0.0016
0.9,3138.1377,93.7656,6.4527,-0.1051,0.6857,0.9469,-0.0016
0.9333,3138.6918,93.6899,6.4432,-0.1053,0.6929,0.947,-0.0016
0.9667,3139.2438,93.6144,6.4337,-0.1056,0.7001,0.9471,-0.0016
1,3139.7938,93.5392,6.4241,-0.1058,0.7073,0.9472,-0.0015
1.0333,3140.3417,93.4642,6.4146,-0.106,0.7145,0.9473,-0.0015
1.0667,3140.8877,93.3896,6.4052,-0.1062,0.7218,0.9474,-0.0015
1.1,3141.4315,93.3152,6.3957,-0.1064,0.729,0.9475,-0.0015
1.1333,3141.9734,93.2411,6.3862,-0.1066,0.7362,0.9476,-0.0015
1.1667,3142.5133,93.1673,6.3767,-0.1068,0.7434,0.9477,-0.0015
1.2,3143.0511,93.0938,6.3673,-0.107,0.7506,0.9478,-0.0015
1.2333,3143.5869,93.0205,6.3579,-0.1072,0.7578,0.9479,-0.0015
1.2667,3144.1208,92.9475,6.3484,-0.1074,0.765,0.948,-0.0015
1.3,3144.6526,92.8748,6.339,-0.1076,0.7722,0.9481,-0.0015
1.3333,3145.1825,92.8023,6.3296,-0.1078,0.7793,0.9482,-0.0015
1.3667,3145.7104,92.7302,6.3203,-0.108,0.7865,0.9483,-0.0015
1.4,3146.2363,92.6583,6.3109,-0.1082,0.7937,0.9485,-0.0015
1.4333,3146.7602,92.5866,6.3015,-0.1084,0.8009,0.9486,-0.0015
1.4667,3147.2822,92.5153,6.2922,-0.1086,0.8081,0.9487,-0.0015
1.5,3147.8022,92.4442,6.2829,-0.1088,0.8152,0.9488,-0.0015
1.5333,3148.3202,92.3734,6.2736,-0.1091,0.8224,0.9489,-0.0015
1.5667,3148.8363,92.3028,6.2643,-0.1093,0.8296,0.949,-0.0015
1.6,3149.3505,92.2325,6.255,-0.1095,0.8367,0.9491,-0.0015
1.6333,3149.8627,92.1625,6.2458,-0.1097,0.8438,0.9493,-0.0015
1.6667,3150.373,92.0928,6.2365,-0.1099,0.851,0.9494,-0.0015
1.7,3150.8814,92.0233,6.2273,-0.1101,0.8581,0.9495,-0.0015
1.7333,3151.3878,91.9541,6.2181,-0.1103,0.8652,0.9496,-0.0015
1.7667,3151.8924,91.8852,6.2089,-0.1105,0.8723,0.9497,-0.0015
1.8,3152.395,91.8165,6.1997,-0.1107,0.8794,0.9498,-0.0015
1.8333,3152.8958,91.7481,6.1905,-0.1109,0.8865,0.95,-0.0015
1.8667,3153.3946,91.68,6.1813,-0.1111,0.8936,0.9501,-0.0015
1.9,3153.8916,91.6121,6.1722,-0.1113,0.9007,0.9502,-0.0015
1.9333,3154.3866,91.5445,6.1631,-0.1115,0.9077,0.9503,-0.0015
1.9667,3154.8798,91.4772,6.1539,-0.1117,0.9148,0.9504,-0.0015
2,3155.3711,91.4101,6.1448,-0.1119,0.9218,0.9505,-0.0015
2.0333,3155.8606,91.3433,6.1358,-0.1121,0.9289,0.9507,-0.0015
2.0667,3156.3482,91.2768,6.1267,-0.1123,0.9359,0.9508,-0.0015
2.1,3156.8339,91.2105,6.1176,-0.1125,0.9429,0.9509,-0.0015
2.1333,3157.3178,91.1445,6.1086,-0.1127,0.9499,0.951,-0.0015
2.1667,3157.7998,91.0788,6.0996,-0.1129,0.9569,0.9511,-0.0015
2.2,3158.28,91.0133,6.0906,-0.1131,0.9639,0.9513,-0.0015
2.2333,3158.7584,90.948,6.0816,-0.1132,0.9709,0.9514,-0.0015
2.2667,3159.235,90.8831,6.0726,-0.1134,0.9779,0.9515,-0.0015
2.3,3159.7097,90.8184,6.0637,-0.1136,0.9849,0.9516,-0.0015
2.3333,3160.1826,90.7539,6.0547,-0.1138,0.9918,0.9517,-0.0015
2.3667,3160.6537,90.6898,6.0458,-0.114,0.9988,0.9519,-0.0015
2.4,3161.123,90.6258,6.0369,-0.1142,1.0057,0.952,-0.0015
2.4333,3161.5905,90.5621,6.028,-0.1144,1.0126,0.9521,-0.0015
2.4667,3162.0563,90.4987,6.0192,-0.1146,1.0196,0.9522,-0.0015
2.5,3162.5202,90.4355,6.0103,-0.1148,1.0265,0.9524,-0.0015
2.5333,3162.9824,90.3725,6.0015,-0.115,1.0334,0.9525,-0.0015
2.5667,3163.4428,90.3098,5.9928,-0.1152,1.0403,0.9526,-0.0015
2.6,3163.9014,90.2473,5.984,-0.1154,1.0473,0.9528,-0.0015
2.6333,3164.3582,90.185,5.9753,-0.1156,1.0542,0.9529,-0.0015
2.6667,3164.8133,90.123,5.9667,-0.1158,1.0611,0.953,-0.0014
2.7,3165.2667,90.0612,5.958,-0.116,1.068,0.9532,-0.0014
2.7333,3165.7183,89.9997,5.9494,-0.1162,1.075,0.9533,-0.0014
2.7667,3166.1682,89.9384,5.9408,-0.1164,1.0819,0.9535,-0.0014
2.8,3166.6164,89.8773,5.9323,-0.1166,1.0888,0.9536,-0.0014
2.8333,3167.0628,89.8164,5.9238,-0.1168,1.0957,0.9537,-0.0014
2.8667,3167.5075,89.7558,5.9153,-0.1169,1.1026,0.9539,-0.0014
2.9,3167.9505,89.6954,5.9069,-0.1171,1.1095,0.954,-0.0014
2.9333,3168.3918,89.6352,5.8984,-0.1173,1.1163,0.9542,-0.0014
2.9667,3168.8315,89.5753,5.89,-0.1175,1.1232,0.9543,-0.0014
3,3169.2694,89.5156,5.8817,-0.1177,1.13,0.9545,-0.0014
3.0333,3169.7056,89.4561,5.8733,-0.1179,1.1369,0.9546,-0.0014
3.0667,3170.1402,89.3968,5.865,-0.1181,1.1437,0.9547,-0.0014
3.1,3170.5731,89.3378,5.8567,-0.1183,1.1505,0.9549,-0.0014
3.1333,3171.0043,89.279,5.8484,-0.1185,1.1573,0.955,-0.0014
3.1667,3171.4339,89.2204,5.8402,-0.1187,1.1641,0.9552,-0.0014
3.2,3171.8618,89.1621,5.8319,-0.1188,1.1708,0.9553,-0.0014
3.2333,3172.2881,89.1039,5.8237,-0.119,1.1776,0.9554,-0.0014
3.2667,3172.7127,89.046,5.8155,-0.1192,1.1843,0.9556,-0.0014
3.3,3173.1357,88.9883,5.8073,-0.1194,1.191,0.9557,-0.0014
3.3333,3173.5571,88.9309,5.7992,-0.1196,1.1977,0.9558,-0.0014
3.3667,3173.9768,88.8736,5.7911,-0.1198,1.2044,0.956,-0.0014
3.4,3174.395,88.8166,5.783,-0.12,1.2111,0.9561,-0.0014
3.4333,3174.8115,88.7598,5.7749,-0.1202,1.2177,0.9562,-0.0014
3.4667,3175.2264,88.7032,5.7668,-0.1203,1.2244,0.9564,-0.0014
3.5,3175.6397,88.6469,5.7588,-0.1205,1.231,0.9565,-0.0014
3.5333,3176.0515,88.5907,5.7507,-0.1207,1.2376,0.9566,-0.0014
3.5667,3176.4616,88.5348,5.7427,-0.1209,1.2442,0.9568,-0.0014
3.6,3176.8702,88.479,5.7348,-0.1211,1.2508,0.9569,-0.0014
3.6333,3177.2772,88.4235,5.7268,-0.1213,1.2574,0.957,-0.0014
3.6667,3177.6826,88.3683,5.7189,-0.1214,1.264,0.9571,-0.0013
3.7,3178.0865,88.3132,5.711,-0.1216,1.2705,0.9573,-0.0013
3.7333,3178.4888,88.2583,5.7031,-0.1218,1.2771,0.9574,-0.0013
3.7667,3178.8895,88.2037,5.6952,-0.122,1.2836,0.9575,-0.0013
3.8,3179.2887,88.1492,5.6873,-0.1222,1.2901,0.9576,-0.0013
3.8333,3179.6864,88.095,5.6795,-0.1224,1.2966,0.9578,-0.0013
3.8667,3180.0825,88.041,5.6717,-0.1225,1.3031,0.9579,-0.0013
3.9,3180.4771,87.9872,5.6639,-0.1227,1.3096,0.958,-0.0013
3.9333,3180.8702,87.9336,5.6561,-0.1229,1.316,0.9581,-0.0013
3.9667,3181.2618,87.8802,5.6484,-0.1231,1.3225,0.9583,-0.0013
4,3181.6518,87.8271,5.6407,-0.1233,1.3289,0.9584,-0.0013
4.0333,3182.0404,87.7741,5.633,-0.1234,1.3353,0.9585,-0.0013
4.0667,3182.4274,87.7213,5.6253,-0.1236,1.3417,0.9586,-0.0013
4.1,3182.8129,87.6688,5.6176,-0.1238,1.3481,0.9588,-0.0013
4.1333,3183.197,87.6164,5.61,-0.124,1.3545,0.9589,-0.0013
4.1667,3183.5795,87.5643,5.6024,-0.1242,1.3609,0.959,-0.0013
4.2,3183.9606,87.5124,5.5948,-0.1243,1.3673,0.9591,-0.0013
4.2333,3184.3402,87.4606,5.5872,-0.1245,1.3736,0.9592,-0.0013
4.2667,3184.7184,87.4091,5.5797,-0.1247,1.3799,0.9594,-0.0013
4.3,3185.0951,87.3578,5.5721,-0.1249,1.3863,0.9595,-0.0013
4.3333,3185.4703,87.3067,5.5646,-0.125,1.3926,0.9596,-0.0013
4.3667,3185.844,87.2557,5.5571,-0.1252,1.3989,0.9597,-0.0013
4.4,3186.2164,87.205,5.5497,-0.1254,1.4051,0.9598,-0.0013
4.4333,3186.5872,87.1545,5.5422,-0.1256,1.4114,0.96,-0.0013
4.4667,3186.9567,87.1042,5.5348,-0.1257,1.4177,0.9601,-0.0013
4.5,3187.3247,87.054,5.5274,-0.1259,1.4239,0.9602,-0.0013
