t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
0,3122.3867,95.9197,6.7119,-0.0996,0.4916,0.9453,-0.0307
0.0333,3122.9953,95.8404,6.7598,-0.1048,0.6066,0.8534,-0.1474
0.0667,3123.597,95.7532,6.994,-0.1219,0.9018,0.8811,-0.264
0.1,3124.1931,95.6571,7.4605,-0.1491,1.4064,0.9642,-0.3807
0.1333,3124.7869,95.5487,8.1904,-0.1855,2.1298,1.1041,-0.4974
0.1667,3125.3837,95.4236,9.2019,-0.2312,3.0685,1.2992,-0.614
0.2,3125.9907,95.2761,10.5023,-0.2872,4.2094,1.5453,-0.7307
0.2333,3126.6173,95.0986,12.0891,-0.3551,5.5316,1.8428,-0.8474
0.2667,3127.276,94.8829,13.9521,-0.4378,6.9714,2.2494,-0.964
0.3,3127.9794,94.6213,16.0751,-0.5386,8.5559,2.5751,-1
0.3333,3128.7381,94.3234,18.3974,-0.6601,10.2258,2.8518,-1
0.3667,3129.5621,93.9889,20.8167,-0.8047,11.8925,3.0633,-1
0.4,3130.4589,93.6154,23.2438,-0.9743,13.4804,3.2728,-1
0.4333,3131.4357,93.2,25.6059,-1.1703,14.9128,3.5043,-1
0.4667,3132.4991,92.7517,27.8476,-1.3939,16.1634,3.5842,-1
0.5,3133.6494,92.3011,29.9307,-1.6442,17.2814,3.444,-1
0.5333,3134.8809,91.8603,31.8294,-1.9185,18.2724,3.2687,-1
0.5667,3136.1875,91.4335,33.5278,-2.2133,19.1272,3.0688,-1
0.6,3137.5621,91.0375,35.0195,-2.5246,19.8495,2.8367,-1
0.6333,3138.9967,90.6668,36.3041,-2.848,20.4602,2.5813,-1
0.6667,3140.4828,90.2916,37.392,-3.179,20.9446,2.4465,-1
0.7,3142.0164,89.9127,38.2979,-3.5142,21.2609,2.4102,-1
0.7333,3143.5959,89.5299,39.0385,-3.8516,21.4238,2.3776,-1
0.7667,3145.2195,89.1435,39.6345,-4.1893,21.4531,2.3484,-1
0.8,3146.8857,88.7536,40.1092,-4.5261,21.3712,2.3226,-1
0.8333,3148.5932,88.3603,40.4869,-4.8613,21.2013,2.2996,-1
0.8667,3150.3405,87.9638,40.7915,-5.1947,20.9663,2.2792,-1
