t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
0,3122.3867,95.9197,6.7119,-0.0996,0.4916,0.9453,-0.0307
0.0333,3122.996,95.8396,6.7393,-0.0997,0.5838,0.8213,-0.1474
0.0667,3123.596,95.7424,6.9973,-0.0992,0.9456,0.7827,-0.264
0.1,3124.1854,95.6274,7.6627,-0.0987,1.7025,0.8711,-0.3355
0.1333,3124.7691,95.499,8.8084,-0.1003,2.8393,1.1808,-0.2188
0.1667,3125.3602,95.3557,10.3237,-0.1068,4.1923,1.5766,-0.1022
0.2,3125.9744,95.1924,12.0302,-0.1211,5.5653,2.0159,0.0145
0.2333,3126.6301,95.0068,13.7361,-0.1447,6.736,2.4851,0.1312
0.2667,3127.3423,94.8017,15.2531,-0.1769,7.5972,2.7691,0.2478
0.3,3128.1207,94.5747,16.4186,-0.2143,8.0227,2.9397,0.3189
0.3333,3128.9693,94.3322,17.1519,-0.2521,8.008,2.9204,0.234
0.3667,3129.8855,94.0888,17.5005,-0.2851,7.6499,2.8004,0.1291
0.4,3130.8635,93.8547,17.5646,-0.3093,7.0769,2.6163,0.0261
0.4333,3131.8958,93.6337,17.4559,-0.3224,6.4116,2.4151,-0.0581
0.4667,3132.9746,93.4201,17.284,-0.324,5.76,2.2289,-0.1142
0.5,3134.0922,93.211,17.1458,-0.3154,5.2318,1.9707,-0.1708
0.5333,3135.2391,93.002,17.1244,-0.2985,4.9098,1.7948,-0.2045
0.5667,3136.41,92.7921,17.2868,-0.276,4.7971,1.7467,-0.1727
0.6,3137.6038,92.5796,17.6381,-0.2516,4.8708,1.7582,-0.1254
0.6333,3138.8214,92.3629,18.1489,-0.2287,5.0828,1.8115,-0.0742
0.6667,3140.0654,92.1399,18.7746,-0.2096,5.3712,1.9186,-0.0211
0.7,3141.3402,91.9108,19.4618,-0.196,5.6578,2.0699,0.0399
0.7333,3142.6512,91.6758,20.1478,-0.1886,5.8918,2.1664,0.0713
0.7667,3144.001,91.4344,20.7852,-0.1868,6.0595,2.195,0.0636
0.8,3145.3902,91.1866,21.36,-0.189,6.1578,2.2037,0.0493
0.8333,3146.8188,90.9334,21.875,-0.1935,6.1962,2.197,0.0329
0.8667,3148.286,90.6757,22.3398,-0.1988,6.1894,2.179,0.0165
0.9,3149.7909,90.4143,22.7681,-0.2037,6.1541,2.1542,0.0018
0.9333,3151.3323,90.1495,23.175,-0.2075,6.1067,2.1267,-0.01
0.9667,3152.909,89.8817,23.5747,-0.2099,6.0614,2.1,-0.0185
1,3154.5198,89.6106,23.979,-0.2111,6.0288,2.0766,-0.0236
1.0333,3156.1637,89.3362,24.3968,-0.2114,6.0157,2.0579,-0.0255
1.0667,3157.84,89.0581,24.8335,-0.2112,6.0251,2.0444,-0.025
1.1,3159.5479,88.7769,25.2912,-0.2111,6.0534,2.0536,0.0343
1.1333,3161.2888,88.4991,25.7293,-0.2116,6.032,2.0997,0.1471
1.1667,3163.064,88.222,26.0514,-0.2128,5.8923,2.0687,0.1052
1.2,3164.872,87.9449,26.25,-0.2141,5.6533,2.0047,0.075
1.2333,3166.7096,87.6696,26.3538,-0.2148,5.3661,1.8704,0.0533
1.2667,3168.572,87.3969,26.388,-0.2139,5.0635,1.7345,0.0379
1.3,3170.4553,87.1273,26.3735,-0.211,4.749,1.6538,0.027
1.3333,3172.3564,86.8606,26.328,-0.206,4.435,1.5744,0.0193
1.3667,3174.2728,86.5968,26.2662,-0.1995,4.1349,1.4994,0.0139
1.4,3176.202,86.3359,26.1997,-0.1919,3.8578,1.4307,0.0102
1.4333,3178.1416,86.0773,26.1376,-0.1838,3.6099,1.3693,0.0076
1.4667,3180.0898,85.8206,26.0861,-0.1755,3.3945,1.3157,0.0058
1.5,3182.0447,85.5657,26.0498,-0.1677,3.2129,1.2701,0.0045
1.5333,3184.0051,85.3123,26.0311,-0.1606,3.0645,1.2319,0.0037
1.5667,3185.9696,85.0599,26.0313,-0.1545,2.9477,1.2008,0.003
1.6,3187.9374,84.8081,26.0504,-0.1496,2.8597,1.176,0.0026
1.6333,3189.9077,84.5567,26.0877,-0.1459,2.7977,1.1568,0.0022
1.6667,3191.8799,84.3054,26.1419,-0.1435,2.7583,1.1423,0.0019
1.7,3193.8535,84.0541,26.2112,-0.1423,2.7381,1.1318,0.0017
