t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
0,3122.3867,95.9197,6.7119,-0.0996,0.4916,0.9453,-0.0307
0.0333,3122.9973,95.8398,6.7135,-0.1018,0.5242,0.909,-0.1474
0.0667,3123.6036,95.7628,6.7823,-0.1084,0.6367,0.8917,-0.264
0.1,3124.2048,95.6793,6.98,-0.1177,0.8812,0.9051,-0.3807
0.1333,3124.8015,95.5876,7.3632,-0.1286,1.2973,0.9642,-0.4974
0.1667,3125.3958,95.4847,7.9736,-0.1409,1.9073,1.0741,-0.614
0.2,3125.992,95.3673,8.8395,-0.1548,2.7191,1.2361,-0.7307
0.2333,3126.596,95.2304,9.9769,-0.1712,3.7291,1.4483,-0.8474
0.2667,3127.2159,95.0697,11.3902,-0.1916,4.9152,1.7418,-0.8212
0.3,3127.8645,94.8875,13.0066,-0.2177,6.1307,2.2329,-0.7045
0.3333,3128.5584,94.6801,14.6678,-0.2517,7.2478,2.5188,-0.5878
0.3667,3129.3085,94.4469,16.239,-0.293,8.1667,2.7781,-0.4712
0.4,3130.1229,94.1972,17.6146,-0.34,8.8239,2.902,-0.3545
0.4333,3131.0057,93.9381,18.7162,-0.3894,9.1706,2.9718,-0.2455
0.4667,3131.9585,93.6717,19.4977,-0.4375,9.1915,2.9601,-0.247
0.5,3132.9794,93.3997,19.9903,-0.4806,8.9521,2.8829,-0.2833
0.5333,3134.0644,93.1252,20.2715,-0.5157,8.5405,2.7847,-0.3301
0.5667,3135.2091,92.8503,20.4246,-0.5412,8.0441,2.6768,-0.3812
0.6,3136.4088,92.5777,20.5257,-0.5564,7.5464,2.5373,-0.4407
0.6333,3137.6577,92.3091,20.6426,-0.5612,7.1217,2.3982,-0.507
0.6667,3138.9507,92.0425,20.8347,-0.5568,6.8159,2.2942,-0.5583
0.7,3140.2844,91.7754,21.1394,-0.5446,6.6483,2.2356,-0.5894
0.7333,3141.6568,91.5058,21.5698,-0.5269,6.6156,2.2122,-0.6034
0.7667,3143.0673,91.2317,22.119,-0.506,6.6985,2.2172,-0.6041
0.8,3144.5161,90.9513,22.7676,-0.4841,6.8681,2.2427,-0.5952
0.8333,3146.0042,90.6634,23.489,-0.4628,7.0913,2.2837,-0.5795
0.8667,3147.5331,90.3668,24.2538,-0.4439,7.3349,2.3308,-0.56
0.9,3149.1042,90.0612,25.0338,-0.4281,7.5715,2.3746,-0.5417
0.9333,3150.7187,89.747,25.8056,-0.416,7.781,2.4097,-0.5271
0.9667,3152.3775,89.4245,26.5529,-0.4078,7.9517,2.4331,-0.5178
1,3154.0808,89.0948,27.2664,-0.403,8.08,2.4414,-0.5142
1.0333,3155.8285,88.759,27.944,-0.4013,8.1718,2.4319,-0.5202
1.0667,3157.6197,88.4176,28.5906,-0.402,8.2351,2.4172,-0.5289
1.1,3159.4534,88.0709,29.2142,-0.4045,8.2792,2.3996,-0.5389
1.1333,3161.3287,87.7192,29.8235,-0.4082,8.3134,2.3807,-0.5496
1.1667,3163.2445,87.3626,30.4266,-0.4128,8.3458,2.3616,-0.5604
1.2,3165.1998,87.0012,31.0303,-0.4181,8.3829,2.3433,-0.5709
1.2333,3167.1935,86.635,31.6404,-0.4239,8.4298,2.3263,-0.5807
1.2667,3169.2247,86.264,32.2608,-0.4302,8.4896,2.3109,-0.5898
1.3,3171.2926,85.888,32.894,-0.437,8.5638,2.2974,-0.5982
1.3333,3173.3963,85.507,33.5409,-0.4444,8.6526,2.2855,-0.6057
1.3667,3175.5351,85.1208,34.2017,-0.4524,8.7553,2.275,-0.6127
1.4,3177.7083,84.7294,34.8752,-0.4613,8.8702,2.2657,-0.6191
1.4333,3179.9152,84.3326,35.5601,-0.4709,8.9954,2.2573,-0.6252
1.4667,3182.1552,83.9305,36.2544,-0.4814,9.1287,2.2493,-0.6312
1.5,3184.4275,83.5228,36.9564,-0.4927,9.267,2.2463,-0.636
1.5333,3186.7318,83.1099,37.6636,-0.5047,9.4042,2.2494,-0.6371
1.5667,3189.0678,82.6916,38.3721,-0.5175,9.5365,2.2508,-0.6387
1.6,3191.435,82.2682,39.0785,-0.5308,9.6617,2.2498,-0.6414
1.6333,3193.8331,81.8398,39.7809,-0.5445,9.7787,2.2457,-0.6453
1.6667,3196.2613,81.4064,40.4786,-0.5584,9.8908,2.2318,-0.6534
1.7,3198.7186,80.968,41.1732,-0.5721,10.0009,2.2167,-0.6627
1.7333,3201.2043,80.5247,41.8674,-0.5854,10.112,2.2014,-0.6722
1.7667,3203.7173,80.0764,42.5637,-0.5981,10.2264,2.1862,-0.6817
1.8,3206.2567,79.6232,43.264,-0.61,10.3457,2.1713,-0.691
1.8333,3208.8215,79.1652,43.9699,-0.6211,10.4712,2.1567,-0.7003
1.8667,3211.4109,78.7022,44.6823,-0.6313,10.6036,2.1425,-0.7094
1.9,3214.0239,78.2344,45.4018,-0.6406,10.7432,2.1287,-0.7184
1.9333,3216.6597,77.7618,46.1287,-0.649,10.89,2.1152,-0.7273
1.9667,3219.3173,77.2844,46.8628,-0.6566,11.0437,2.1019,-0.7361
2,3221.996,76.802,47.6039,-0.6635,11.2037,2.0889,-0.7448
2.0333,3224.6949,76.3147,48.3516,-0.6697,11.3696,2.076,-0.7535
2.0667,3227.413,75.8225,49.1054,-0.6753,11.5408,2.0631,-0.7623
2.1,3230.1495,75.3255,49.8648,-0.6805,11.7165,2.0501,-0.7711
2.1333,3232.9036,74.8237,50.6293,-0.6853,11.8963,2.0371,-0.7801
2.1667,3235.6744,74.3172,51.3984,-0.6899,12.0797,2.0238,-0.7892
2.2,3238.461,73.8059,52.1716,-0.6944,12.2657,2.0122,-0.7977
2.2333,3241.2625,73.2899,52.9486,-0.6989,12.4533,2.0003,-0.8063
2.2667,3244.0782,72.7693,53.7286,-0.7036,12.6423,1.9879,-0.8151
2.3,3246.9072,72.2442,54.5114,-0.7085,12.8323,1.975,-0.8241
2.3333,3249.7486,71.7146,55.2967,-0.7138,13.0232,1.9617,-0.8335
2.3667,3252.6016,71.1806,56.0845,-0.7196,13.2152,1.9481,-0.8424
2.4,3255.4652,70.6421,56.8748,-0.726,13.408,1.9347,-0.8484
2.4333,3258.3386,70.0993,57.6665,-0.7331,13.6004,1.9208,-0.8546
2.4667,3261.2208,69.5523,58.4584,-0.7411,13.7916,1.9062,-0.8611
2.5,3264.1111,69.0012,59.2496,-0.7499,13.9788,1.8963,-0.8661
2.5333,3267.0087,68.4463,60.0392,-0.7597,14.1604,1.8856,-0.8708
2.5667,3269.9127,67.8872,60.8259,-0.7706,14.3359,1.8736,-0.8762
2.6,3272.8224,67.3242,61.6092,-0.7826,14.5054,1.8601,-0.8822
2.6333,3275.7367,66.7574,62.389,-0.7958,14.6694,1.8455,-0.8887
2.6667,3278.6549,66.1871,63.1656,-0.8102,14.8286,1.8298,-0.8957
2.7,3281.5761,65.6133,63.9398,-0.8259,14.9849,1.8099,-0.9034
2.7333,3284.499,65.0367,64.7127,-0.843,15.1448,1.7816,-0.916
2.7667,3287.4227,64.4582,65.4869,-0.8615,15.3113,1.7533,-0.9288
2.8,3290.346,63.8778,66.2648,-0.8816,15.4867,1.7254,-0.9413
2.8333,3293.2678,63.2956,67.0486,-0.9035,15.6726,1.6979,-0.9535
2.8667,3296.1871,62.7116,67.8396,-0.9274,15.8704,1.6709,-0.9656
2.9,3299.1029,62.1261,68.6388,-0.9536,16.0805,1.6442,-0.9774
2.9333,3302.0141,61.5404,69.4467,-0.9824,16.3097,1.6025,-0.9941
2.9667,3304.9195,60.955,70.2647,-1.0142,16.5626,1.5599,-1
3,3307.818,60.3705,71.0917,-1.0492,16.8364,1.5185,-1
3.0333,3310.7085,59.787,71.9225,-1.0875,17.1267,1.4768,-1
3.0667,3313.59,59.2051,72.7523,-1.1289,17.4294,1.4333,-1
3.1,3316.4615,58.6249,73.5768,-1.1733,17.7417,1.3889,-1
3.1333,3319.3219,58.0466,74.3921,-1.2204,18.0599,1.3449,-1
3.1667,3322.1703,57.4707,75.1949,-1.2698,18.3809,1.3013,-1
3.2,3325.0058,56.8976,75.9821,-1.3208,18.7051,1.2512,-1
3.2333,3327.8273,56.3271,76.7515,-1.3729,19.0319,1.2013,-1
3.2667,3330.634,55.7621,77.501,-1.4249,19.3594,1.1503,-1
3.3,3333.4251,55.2042,78.2281,-1.4755,19.687,1.0938,-1
3.3333,3336.1998,54.6533,78.9311,-1.5232,20.0221,1.0275,-1
